user_name,quality_grade,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
Marina Marquis,research,Monarch,Danaus plexippus,Monarch,Insecta,48662
Marina Marquis,research,Jamaican caper,Quadrella cynophallophora,Jamaican caper,Plantae,194612
Marina Marquis,research,Monarch,Danaus plexippus,Monarch,Insecta,48662
Marina Marquis,research,Coral Bean,Erythrina herbacea,Coral Bean,Plantae,128717
Marina Marquis,needs_id,"",Senna,sennas,Plantae,52348
Marina Marquis,research,Locustberry,Byrsonima lucida,Locustberry,Plantae,159613
Marina Marquis,research,cabbage palmetto,Sabal palmetto,cabbage palmetto,Plantae,123481
Marina Marquis,research,American beautyberry,Callicarpa americana,American beautyberry,Plantae,49193
Marina Marquis,research,Gulf Fritillary,Dione vanillae,Gulf Fritillary,Insecta,49150
Marina Marquis,research,Golden Silk Spider,Trichonephila clavipes,Golden Silk Spider,Arachnida,904336
Marina Marquis,research,Golden Silk Spider,Trichonephila clavipes,Golden Silk Spider,Arachnida,904336
Marina Marquis,research,Virginia creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278
Marina Marquis,research,Shiny-leaved Wild Coffee,Psychotria nervosa,Shiny-leaved Wild Coffee,Plantae,51599
Marina Marquis,needs_id,"",Phlebodium,,Plantae,127909
Marina Marquis,research,eastern poison ivy,Toxicodendron radicans,eastern poison ivy,Plantae,58732
Marina Marquis,research,shrubby false buttonweed,Spermacoce verticillata,shrubby false buttonweed,Plantae,169171
Marina Marquis,needs_id,"",Vitis,grapevines,Plantae,60773
Marina Marquis,research,Eastern Giant Swallowtail,Heraclides cresphontes,Eastern Giant Swallowtail,Insecta,85024
Marina Marquis,needs_id,Fishbone Fern,Nephrolepis cordifolia,Fishbone Fern,Plantae,48233
Marina Marquis,research,painted leaf,Euphorbia cyathophora,painted leaf,Plantae,77109
Marina Marquis,research,Common Raccoon,Procyon lotor,Common Raccoon,Mammalia,41663
Marina Marquis,research,Soldier,Danaus eresimus,Soldier,Insecta,50065
Marina Marquis,research,oakleaf fleabane,Erigeron quercifolius,oakleaf fleabane,Plantae,131153
Marina Marquis,research,Indian Peafowl,Pavo cristatus,Indian Peafowl,Aves,1204
Marina Marquis,research,White Peacock,Anartia jatrophae,White Peacock,Insecta,49761
Marina Marquis,research,Great Southern White,Ascia monuste,Great Southern White,Insecta,51536
Marina Marquis,research,Barred Yellow,Eurema daira,Barred Yellow,Insecta,67324
Marina Marquis,needs_id,Euremini,Euremiini,,Insecta,1609467
Marina Marquis,needs_id,Cypress Twig Gall Midge,Taxodiomyia cupressiananassa,Cypress Twig Gall Midge,Insecta,133713
Marina Marquis,research,Soldier,Danaus eresimus,Soldier,Insecta,50065
Marina Marquis,research,White beggarticks,Bidens alba,White beggarticks,Plantae,1095846
Marina Marquis,research,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
Marina Marquis,research,Fiery Skipper,Hylephila phyleus,Fiery Skipper,Insecta,50340
Marina Marquis,research,Fiery Skipper,Hylephila phyleus,Fiery Skipper,Insecta,50340
Marina Marquis,research,Great Southern White,Ascia monuste,Great Southern White,Insecta,51536
Marina Marquis,research,Gulf Fritillary,Dione vanillae,Gulf Fritillary,Insecta,49150
Marina Marquis,research,Atala,Eumaeus atala,Atala,Insecta,50075
Marina Marquis,research,Zebra Longwing,Heliconius charithonia,Zebra Longwing,Insecta,49766
Marina Marquis,research,White beggarticks,Bidens alba,White beggarticks,Plantae,1095846
Marina Marquis,research,shrubby false buttonweed,Spermacoce verticillata,shrubby false buttonweed,Plantae,169171
Marina Marquis,research,Brown Anole,Anolis sagrei,Brown Anole,Reptilia,116461
Marina Marquis,needs_id,Cicadas,Cicadoidea,Cicadas,Insecta,50190
Marina Marquis,research,turkey tangle frogfruit,Phyla nodiflora,turkey tangle frogfruit,Plantae,59040
Marina Marquis,research,Soldier,Danaus eresimus,Soldier,Insecta,50065
Marina Marquis,research,Soldier,Danaus eresimus,Soldier,Insecta,50065
Marina Marquis,research,Monarch,Danaus plexippus,Monarch,Insecta,48662
Marina Marquis,research,lizard's tail,Saururus cernuus,lizard's tail,Plantae,60742
Marina Marquis,needs_id,Euphoria,Euphoria,,Insecta,53341
Marina Marquis,research,Monarch,Danaus plexippus,Monarch,Insecta,48662
Marina Marquis,research,Boat-tailed Grackle,Quiscalus major,Boat-tailed Grackle,Aves,9601
Marina Marquis,research,Monarch,Danaus plexippus,Monarch,Insecta,48662
Marina Marquis,research,Indian Peafowl,Pavo cristatus,Indian Peafowl,Aves,1204
Marina Marquis,research,Acrolophus walsinghami,Acrolophus walsinghami,,Insecta,702390
Marina Marquis,needs_id,Coptotermes,Coptotermes,,Insecta,199405
Marina Marquis,needs_id,Beetles,Coleoptera,Beetles,Insecta,47208
Marina Marquis,needs_id,Parapoynx,Parapoynx,,Insecta,146671
Marina Marquis,research,Satin Rupela,Rupela tinctella,Satin Rupela,Insecta,509720
Marina Marquis,needs_id,Insects,Insecta,Insects,Insecta,47158
Marina Marquis,needs_id,Elaphria agrotina,Elaphria agrotina,,Insecta,417183
Marina Marquis,research,Acrolophus walsinghami,Acrolophus walsinghami,,Insecta,702390
Marina Marquis,needs_id,Pearl Moths,Spilomelinae,Pearl Moths,Insecta,122486
Marina Marquis,needs_id,Butterflies and Moths,Lepidoptera,Butterflies and Moths,Insecta,47157
Marina Marquis,needs_id,Pearl Moths,Spilomelinae,Pearl Moths,Insecta,122486
Marina Marquis,needs_id,Cuban May Beetle,Phyllophaga bruneri,Cuban May Beetle,Insecta,739232
Marina Marquis,needs_id,Butterflies and Moths,Lepidoptera,Butterflies and Moths,Insecta,47157
Marina Marquis,needs_id,Rove Beetles,Staphylinidae,Rove Beetles,Insecta,47951
Marina Marquis,needs_id,Insects,Insecta,Insects,Insecta,47158
Marina Marquis,needs_id,Butterflies and Moths,Lepidoptera,Butterflies and Moths,Insecta,47157
Marina Marquis,needs_id,Butterflies and Moths,Lepidoptera,Butterflies and Moths,Insecta,47157
